Round,Pick,Player,Team Name,Acronym,GM Owner
12,112,Christian Dvorak,Philadelphia Flyers,PHI,Big M
12,113,Troy Terry,Anaheim Ducks,ANA,Mike
12,114,Claude Giroux,Ottawa Senators,OTT,Aaron
12,115,Viktor Arvidsson,Boston Bruins,BOS,Trakas
12,116,Marcus Johansson,Minnesota Wild,MIN,Gardner
12,117,C.E. D'Astous,Tampa Bay Lightning,TBL,Pete
12,118,Oliver Bjorkstrand,Tampa Bay Lightning,TBL,Duncs
12,119,Reilly Smith,Vegas Golden Knights,VGK,Torrie
12,120,Elias Lindholm,Boston Bruins,BOS,Rhys
13,121,Gage Goncalves,Tampa Bay Lightning,TBL,Jay
13,122,Adrian Kempe,Los Angeles Kings,LAK,Big M
13,123,Brendan Gallagher,Montreal Canadiens,MTL,Mike
13,124,Artemi Panarin,Los Angeles Kings,LAK,Aaron
13,125,Kasperi Kapanen,Montreal Canadiens,MTL,Trakas
13,126,Zach Benson,Buffalo Sabres,BUF,Gardner
13,127,Corey Perry,Tampa Bay Lightning,TBL,Pete
13,128,Casey Mittelstadt,Boston Bruins,BOS,Duncs
13,129,Isaac Kindel,Pittsburgh Penguins,PIT,Torrie
13,130,Mikael Granlund,Anaheim Ducks,ANA,Rhys
14,131,Jakob Pelletier,Tampa Bay Lightning,TBL,Jay
14,132,Noah Cates,Philadelphia Flyers,PHI,Big M
14,133,Beckett Sennecke,Anaheim Ducks,ANA,Mike
14,134,Kris Letang,Pittsburgh Penguins,PIT,Aaron
14,135,Jordan Staal,Carolina Hurricanes,CAR,Trakas
14,136,Travis Sanheim,Philadelphia Flyers,PHI,Gardner
14,137,J.J. Peterka,Utah Mammoth,UTA,Pete
14,138,Vasily Podkolzin,Edmonton Oilers,EDM,Duncs
14,139,Maxim Hryckowian,Dallas Stars,DAL,Torrie
14,140,John Carlson,Anaheim Ducks,ANA,Rhys
